,QUAD1,QUAD2
0,"(0, 0)","(1, 0)"
1,"(0, 0)","(0, 1)"
2,"(0, 0)","(1, 1)"
3,"(0, 1)","(0, 0)"
4,"(0, 1)","(1, 0)"
5,"(0, 1)","(1, 1)"
6,"(0, 1)","(0, 2)"
7,"(0, 1)","(1, 2)"
8,"(0, 2)","(0, 1)"
9,"(0, 2)","(1, 1)"
10,"(0, 2)","(1, 2)"
11,"(0, 2)","(0, 3)"
12,"(0, 2)","(1, 3)"
13,"(0, 3)","(0, 2)"
14,"(0, 3)","(1, 2)"
15,"(0, 3)","(1, 3)"
16,"(0, 3)","(0, 4)"
17,"(0, 3)","(1, 4)"
18,"(0, 4)","(0, 3)"
19,"(0, 4)","(1, 3)"
20,"(0, 4)","(1, 4)"
21,"(0, 4)","(0, 5)"
22,"(0, 4)","(1, 5)"
23,"(0, 5)","(0, 4)"
24,"(0, 5)","(1, 4)"
25,"(0, 5)","(1, 5)"
26,"(0, 5)","(0, 6)"
27,"(0, 5)","(1, 6)"
28,"(0, 6)","(0, 5)"
29,"(0, 6)","(1, 5)"
30,"(0, 6)","(1, 6)"
31,"(0, 6)","(0, 7)"
32,"(0, 6)","(1, 7)"
33,"(0, 7)","(0, 6)"
34,"(0, 7)","(1, 6)"
35,"(0, 7)","(1, 7)"
36,"(0, 7)","(0, 8)"
37,"(0, 7)","(1, 8)"
38,"(0, 8)","(0, 7)"
39,"(0, 8)","(1, 7)"
40,"(0, 8)","(1, 8)"
41,"(0, 8)","(0, 9)"
42,"(0, 8)","(1, 9)"
43,"(0, 9)","(0, 8)"
44,"(0, 9)","(1, 8)"
45,"(0, 9)","(1, 9)"
46,"(0, 9)","(0, 10)"
47,"(0, 9)","(1, 10)"
48,"(0, 10)","(0, 9)"
49,"(0, 10)","(1, 9)"
50,"(0, 10)","(1, 10)"
51,"(0, 10)","(0, 11)"
52,"(0, 10)","(1, 11)"
53,"(0, 11)","(0, 10)"
54,"(0, 11)","(1, 10)"
55,"(0, 11)","(1, 11)"
56,"(0, 11)","(0, 12)"
57,"(0, 11)","(1, 12)"
58,"(0, 12)","(0, 11)"
59,"(0, 12)","(1, 11)"
60,"(0, 12)","(1, 12)"
61,"(0, 12)","(0, 13)"
62,"(0, 12)","(1, 13)"
63,"(0, 13)","(0, 12)"
64,"(0, 13)","(1, 12)"
65,"(0, 13)","(1, 13)"
66,"(0, 13)","(0, 14)"
67,"(0, 13)","(1, 14)"
68,"(0, 14)","(0, 13)"
69,"(0, 14)","(1, 13)"
70,"(0, 14)","(1, 14)"
71,"(0, 14)","(0, 15)"
72,"(0, 14)","(1, 15)"
73,"(0, 15)","(0, 14)"
74,"(0, 15)","(1, 14)"
75,"(0, 15)","(1, 15)"
76,"(0, 15)","(0, 16)"
77,"(0, 15)","(1, 16)"
78,"(0, 16)","(0, 15)"
79,"(0, 16)","(1, 15)"
80,"(0, 16)","(1, 16)"
81,"(0, 16)","(0, 17)"
82,"(0, 16)","(1, 17)"
83,"(0, 17)","(0, 16)"
84,"(0, 17)","(1, 16)"
85,"(0, 17)","(1, 17)"
86,"(0, 17)","(0, 18)"
87,"(0, 17)","(1, 18)"
88,"(0, 18)","(0, 17)"
89,"(0, 18)","(1, 17)"
90,"(0, 18)","(1, 18)"
91,"(0, 18)","(0, 19)"
92,"(0, 18)","(1, 19)"
93,"(0, 19)","(0, 18)"
94,"(0, 19)","(1, 18)"
95,"(0, 19)","(1, 19)"
96,"(0, 19)","(0, 20)"
97,"(0, 19)","(1, 20)"
98,"(0, 20)","(0, 19)"
99,"(0, 20)","(1, 19)"
100,"(0, 20)","(1, 20)"
101,"(0, 20)","(0, 21)"
102,"(0, 20)","(1, 21)"
103,"(0, 21)","(0, 20)"
104,"(0, 21)","(1, 20)"
105,"(0, 21)","(1, 21)"
106,"(1, 0)","(0, 0)"
107,"(1, 0)","(2, 0)"
108,"(1, 0)","(0, 1)"
109,"(1, 0)","(1, 1)"
110,"(1, 0)","(2, 1)"
111,"(1, 1)","(0, 0)"
112,"(1, 1)","(1, 0)"
113,"(1, 1)","(2, 0)"
114,"(1, 1)","(0, 1)"
115,"(1, 1)","(2, 1)"
116,"(1, 1)","(0, 2)"
117,"(1, 1)","(1, 2)"
118,"(1, 1)","(2, 2)"
119,"(1, 2)","(0, 1)"
120,"(1, 2)","(1, 1)"
121,"(1, 2)","(2, 1)"
122,"(1, 2)","(0, 2)"
123,"(1, 2)","(2, 2)"
124,"(1, 2)","(0, 3)"
125,"(1, 2)","(1, 3)"
