id,classe ,tipo,endereco,bairro,lat,lon,QUAD
1,POLICIA MILITAR,BATALHAO DA POLICIA,AV AFRANIO PEIXOTO  390,BUTANTA,-23.567232,-46.7091409,"(4, 31)"
2,POLICIA MILITAR,ACADEMIA DE POLICIA,AV AGUA FRIA 1923,AGUA FRIA,-23.4723139,-46.6182287,"(5, 32)"
3,POLICIA MILITAR,BATALHAO DA POLICIA,AV ANGELICA 1647,SANTA CECILIA,-23.5470121,-46.6580658,"(4, 32)"
4,POLICIA MILITAR,BATALHAO DA POLICIA,AV CARLOS OBERHUBER  397,VILA SAO JOSE,-23.7417364,-46.70915780000001,"(2, 31)"
5,POLICIA MILITAR,BATALHAO DA POLICIA,AV CORIFEU DE AZEVEDO MARQUES  4082,RIO PEQUENO,-23.5619338,-46.7466739,"(4, 31)"
6,POLICIA MILITAR,DIRETORIA DE SISTEMAS,AV CRUZEIRO DO SUL 260,CANINDE,-23.5292486,-46.6252329,"(4, 32)"
7,POLICIA MILITAR,BATALHAO DA POLICIA,AV DAVID DOMINGUES FERREIRA 02,ITAQUERA,-23.5352211,-46.4537193,"(4, 34)"
8,POLICIA MILITAR,BATALHAO DA POLICIA,AV DOS IMARES 488,INDIANOPOLIS,-23.6134946,-46.66515889999999,"(3, 32)"
9,POLICIA MILITAR,BATALHAO DA POLICIA,AV DOS METALURGICOS 150,CIDADE TIRADENTES,-23.5850571,-46.4093893,"(4, 35)"
10,POLICIA MILITAR,BATALHAO DA POLICIA,AV DR ENEAS CARVALHO DE AGUIAR 560,CERQUEIRA CESAR,-23.5556315,-46.6722056,"(4, 32)"
11,POLICIA MILITAR,BATALHAO DA POLICIA,AV DR FRANCISCO DE PAULA VICENTE DE AZEVEDO 777,PARQUE CONTINENTAL,-23.5415746,-46.7601106,"(4, 31)"
12,POLICIA MILITAR,BATALHAO DA POLICIA,AV DR JOSE ARTUR NOVA 917,PARQUE PAULISTANO,-23.485549,-46.4372446,"(5, 34)"
13,POLICIA MILITAR,BATALHAO DA POLICIA,AV INCONFIDENCIA MINEIRA 688,VILA RICA,-23.5793692,-46.5174278,"(4, 34)"
14,POLICIA MILITAR,BATALHAO DA POLICIA,AV IV CENTENARIO 1450,JD LUZITANIA,-23.5951042,-46.6654729,"(3, 32)"
