,ID,LAT_MIN,LAT_MAX,LON_MIN,LON_MAX
0,"(0, 0)",-23.9480184,-23.921001399999998,-46.822750808,-46.79573380800001
1,"(0, 1)",-23.9480184,-23.921001399999998,-46.795723808000005,-46.768706808000005
2,"(0, 2)",-23.9480184,-23.921001399999998,-46.768696808,-46.74167980800001
3,"(0, 3)",-23.9480184,-23.921001399999998,-46.741669808000005,-46.714652808000004
4,"(0, 4)",-23.9480184,-23.921001399999998,-46.714642808,-46.68762580800001
5,"(0, 5)",-23.9480184,-23.921001399999998,-46.687615808000004,-46.660598808
6,"(0, 6)",-23.9480184,-23.921001399999998,-46.660588808,-46.633571808000006
7,"(0, 7)",-23.9480184,-23.921001399999998,-46.633561808,-46.606544808
8,"(0, 8)",-23.9480184,-23.921001399999998,-46.606534808,-46.579517808000006
9,"(0, 9)",-23.9480184,-23.921001399999998,-46.579507808,-46.552490808
10,"(0, 10)",-23.9480184,-23.921001399999998,-46.552480808,-46.525463808000005
11,"(0, 11)",-23.9480184,-23.921001399999998,-46.525453808,-46.49843680800001
12,"(0, 12)",-23.9480184,-23.921001399999998,-46.498426808000005,-46.471409808000004
13,"(0, 13)",-23.9480184,-23.921001399999998,-46.471399808,-46.44438280800001
14,"(0, 14)",-23.9480184,-23.921001399999998,-46.444372808000004,-46.417355808
15,"(0, 15)",-23.9480184,-23.921001399999998,-46.417345808,-46.39032880800001
16,"(0, 16)",-23.9480184,-23.921001399999998,-46.390318808,-46.363301808
17,"(0, 17)",-23.9480184,-23.921001399999998,-46.363291808,-46.336274808000006
18,"(0, 18)",-23.9480184,-23.921001399999998,-46.336264808,-46.309247808
19,"(0, 19)",-23.9480184,-23.921001399999998,-46.309237808,-46.282220808000005
20,"(0, 20)",-23.9480184,-23.921001399999998,-46.282210808,-46.25519380800001
21,"(0, 21)",-23.9480184,-23.921001399999998,-46.255183808000005,-46.228166808000005
22,"(1, 0)",-23.9209914,-23.893974399999998,-46.822750808,-46.79573380800001
23,"(1, 1)",-23.9209914,-23.893974399999998,-46.795723808000005,-46.768706808000005
24,"(1, 2)",-23.9209914,-23.893974399999998,-46.768696808,-46.74167980800001
25,"(1, 3)",-23.9209914,-23.893974399999998,-46.741669808000005,-46.714652808000004
26,"(1, 4)",-23.9209914,-23.893974399999998,-46.714642808,-46.68762580800001
27,"(1, 5)",-23.9209914,-23.893974399999998,-46.687615808000004,-46.660598808
28,"(1, 6)",-23.9209914,-23.893974399999998,-46.660588808,-46.633571808000006
29,"(1, 7)",-23.9209914,-23.893974399999998,-46.633561808,-46.606544808
30,"(1, 8)",-23.9209914,-23.893974399999998,-46.606534808,-46.579517808000006
31,"(1, 9)",-23.9209914,-23.893974399999998,-46.579507808,-46.552490808
32,"(1, 10)",-23.9209914,-23.893974399999998,-46.552480808,-46.525463808000005
33,"(1, 11)",-23.9209914,-23.893974399999998,-46.525453808,-46.49843680800001
34,"(1, 12)",-23.9209914,-23.893974399999998,-46.498426808000005,-46.471409808000004
35,"(1, 13)",-23.9209914,-23.893974399999998,-46.471399808,-46.44438280800001
