"ID","LAT_MIN","LAT_MAX","LON_MIN","LON_MAX"
"(0, 0)","-23.9480184","-23.921001399999998","-46.822750808","-46.79573380800001"
"(0, 1)","-23.9480184","-23.921001399999998","-46.795723808000005","-46.768706808000005"
"(0, 2)","-23.9480184","-23.921001399999998","-46.768696808","-46.74167980800001"
"(0, 3)","-23.9480184","-23.921001399999998","-46.741669808000005","-46.714652808000004"
"(0, 4)","-23.9480184","-23.921001399999998","-46.714642808","-46.68762580800001"
"(0, 5)","-23.9480184","-23.921001399999998","-46.687615808000004","-46.660598808"
"(0, 6)","-23.9480184","-23.921001399999998","-46.660588808","-46.633571808000006"
"(0, 7)","-23.9480184","-23.921001399999998","-46.633561808","-46.606544808"
"(0, 8)","-23.9480184","-23.921001399999998","-46.606534808","-46.579517808000006"
"(0, 9)","-23.9480184","-23.921001399999998","-46.579507808","-46.552490808"
"(0, 10)","-23.9480184","-23.921001399999998","-46.552480808","-46.525463808000005"
"(0, 11)","-23.9480184","-23.921001399999998","-46.525453808","-46.49843680800001"
"(0, 12)","-23.9480184","-23.921001399999998","-46.498426808000005","-46.471409808000004"
"(0, 13)","-23.9480184","-23.921001399999998","-46.471399808","-46.44438280800001"
"(0, 14)","-23.9480184","-23.921001399999998","-46.444372808000004","-46.417355808"
"(0, 15)","-23.9480184","-23.921001399999998","-46.417345808","-46.39032880800001"
"(0, 16)","-23.9480184","-23.921001399999998","-46.390318808","-46.363301808"
"(0, 17)","-23.9480184","-23.921001399999998","-46.363291808","-46.336274808000006"
"(0, 18)","-23.9480184","-23.921001399999998","-46.336264808","-46.309247808"
"(0, 19)","-23.9480184","-23.921001399999998","-46.309237808","-46.282220808000005"
"(0, 20)","-23.9480184","-23.921001399999998","-46.282210808","-46.25519380800001"
"(0, 21)","-23.9480184","-23.921001399999998","-46.255183808000005","-46.228166808000005"
"(1, 0)","-23.9209914","-23.893974399999998","-46.822750808","-46.79573380800001"
"(1, 1)","-23.9209914","-23.893974399999998","-46.795723808000005","-46.768706808000005"
"(1, 2)","-23.9209914","-23.893974399999998","-46.768696808","-46.74167980800001"
"(1, 3)","-23.9209914","-23.893974399999998","-46.741669808000005","-46.714652808000004"
"(1, 4)","-23.9209914","-23.893974399999998","-46.714642808","-46.68762580800001"
"(1, 5)","-23.9209914","-23.893974399999998","-46.687615808000004","-46.660598808"
"(1, 6)","-23.9209914","-23.893974399999998","-46.660588808","-46.633571808000006"
"(1, 7)","-23.9209914","-23.893974399999998","-46.633561808","-46.606544808"
"(1, 8)","-23.9209914","-23.893974399999998","-46.606534808","-46.579517808000006"
"(1, 9)","-23.9209914","-23.893974399999998","-46.579507808","-46.552490808"
"(1, 10)","-23.9209914","-23.893974399999998","-46.552480808","-46.525463808000005"
"(1, 11)","-23.9209914","-23.893974399999998","-46.525453808","-46.49843680800001"
"(1, 12)","-23.9209914","-23.893974399999998","-46.498426808000005","-46.471409808000004"
"(1, 13)","-23.9209914","-23.893974399999998","-46.471399808","-46.44438280800001"
"(1, 14)","-23.9209914","-23.893974399999998","-46.444372808000004","-46.417355808"
"(1, 15)","-23.9209914","-23.893974399999998","-46.417345808","-46.39032880800001"
"(1, 16)","-23.9209914","-23.893974399999998","-46.390318808","-46.363301808"
"(1, 17)","-23.9209914","-23.893974399999998","-46.363291808","-46.336274808000006"
"(1, 18)","-23.9209914","-23.893974399999998","-46.336264808","-46.309247808"
"(1, 19)","-23.9209914","-23.893974399999998","-46.309237808","-46.282220808000005"
"(1, 20)","-23.9209914","-23.893974399999998","-46.282210808","-46.25519380800001"
"(1, 21)","-23.9209914","-23.893974399999998","-46.255183808000005","-46.228166808000005"
"(2, 0)","-23.893964399999998","-23.866947399999997","-46.822750808","-46.79573380800001"
"(2, 1)","-23.893964399999998","-23.866947399999997","-46.795723808000005","-46.768706808000005"
"(2, 2)","-23.893964399999998","-23.866947399999997","-46.768696808","-46.74167980800001"
"(2, 3)","-23.893964399999998","-23.866947399999997","-46.741669808000005","-46.714652808000004"
"(2, 4)","-23.893964399999998","-23.866947399999997","-46.714642808","-46.68762580800001"
"(2, 5)","-23.893964399999998","-23.866947399999997","-46.687615808000004","-46.660598808"
"(2, 6)","-23.893964399999998","-23.866947399999997","-46.660588808","-46.633571808000006"
"(2, 7)","-23.893964399999998","-23.866947399999997","-46.633561808","-46.606544808"
"(2, 8)","-23.893964399999998","-23.866947399999997","-46.606534808","-46.579517808000006"
"(2, 9)","-23.893964399999998","-23.866947399999997","-46.579507808","-46.552490808"
"(2, 10)","-23.893964399999998","-23.866947399999997","-46.552480808","-46.525463808000005"
"(2, 11)","-23.893964399999998","-23.866947399999997","-46.525453808","-46.49843680800001"
"(2, 12)","-23.893964399999998","-23.866947399999997","-46.498426808000005","-46.471409808000004"
"(2, 13)","-23.893964399999998","-23.866947399999997","-46.471399808","-46.44438280800001"
"(2, 14)","-23.893964399999998","-23.866947399999997","-46.444372808000004","-46.417355808"
"(2, 15)","-23.893964399999998","-23.866947399999997","-46.417345808","-46.39032880800001"
"(2, 16)","-23.893964399999998","-23.866947399999997","-46.390318808","-46.363301808"
"(2, 17)","-23.893964399999998","-23.866947399999997","-46.363291808","-46.336274808000006"
"(2, 18)","-23.893964399999998","-23.866947399999997","-46.336264808","-46.309247808"
"(2, 19)","-23.893964399999998","-23.866947399999997","-46.309237808","-46.282220808000005"
"(2, 20)","-23.893964399999998","-23.866947399999997","-46.282210808","-46.25519380800001"
"(2, 21)","-23.893964399999998","-23.866947399999997","-46.255183808000005","-46.228166808000005"
"(3, 0)","-23.866937399999998","-23.839920399999997","-46.822750808","-46.79573380800001"
"(3, 1)","-23.866937399999998","-23.839920399999997","-46.795723808000005","-46.768706808000005"
"(3, 2)","-23.866937399999998","-23.839920399999997","-46.768696808","-46.74167980800001"
"(3, 3)","-23.866937399999998","-23.839920399999997","-46.741669808000005","-46.714652808000004"
"(3, 4)","-23.866937399999998","-23.839920399999997","-46.714642808","-46.68762580800001"
"(3, 5)","-23.866937399999998","-23.839920399999997","-46.687615808000004","-46.660598808"
"(3, 6)","-23.866937399999998","-23.839920399999997","-46.660588808","-46.633571808000006"
"(3, 7)","-23.866937399999998","-23.839920399999997","-46.633561808","-46.606544808"
"(3, 8)","-23.866937399999998","-23.839920399999997","-46.606534808","-46.579517808000006"
"(3, 9)","-23.866937399999998","-23.839920399999997","-46.579507808","-46.552490808"
"(3, 10)","-23.866937399999998","-23.839920399999997","-46.552480808","-46.525463808000005"
"(3, 11)","-23.866937399999998","-23.839920399999997","-46.525453808","-46.49843680800001"
"(3, 12)","-23.866937399999998","-23.839920399999997","-46.498426808000005","-46.471409808000004"
"(3, 13)","-23.866937399999998","-23.839920399999997","-46.471399808","-46.44438280800001"
"(3, 14)","-23.866937399999998","-23.839920399999997","-46.444372808000004","-46.417355808"
"(3, 15)","-23.866937399999998","-23.839920399999997","-46.417345808","-46.39032880800001"
"(3, 16)","-23.866937399999998","-23.839920399999997","-46.390318808","-46.363301808"
"(3, 17)","-23.866937399999998","-23.839920399999997","-46.363291808","-46.336274808000006"
"(3, 18)","-23.866937399999998","-23.839920399999997","-46.336264808","-46.309247808"
"(3, 19)","-23.866937399999998","-23.839920399999997","-46.309237808","-46.282220808000005"
"(3, 20)","-23.866937399999998","-23.839920399999997","-46.282210808","-46.25519380800001"
"(3, 21)","-23.866937399999998","-23.839920399999997","-46.255183808000005","-46.228166808000005"
"(4, 0)","-23.839910399999997","-23.812893399999997","-46.822750808","-46.79573380800001"
"(4, 1)","-23.839910399999997","-23.812893399999997","-46.795723808000005","-46.768706808000005"
"(4, 2)","-23.839910399999997","-23.812893399999997","-46.768696808","-46.74167980800001"
"(4, 3)","-23.839910399999997","-23.812893399999997","-46.741669808000005","-46.714652808000004"
"(4, 4)","-23.839910399999997","-23.812893399999997","-46.714642808","-46.68762580800001"
"(4, 5)","-23.839910399999997","-23.812893399999997","-46.687615808000004","-46.660598808"
"(4, 6)","-23.839910399999997","-23.812893399999997","-46.660588808","-46.633571808000006"
"(4, 7)","-23.839910399999997","-23.812893399999997","-46.633561808","-46.606544808"
"(4, 8)","-23.839910399999997","-23.812893399999997","-46.606534808","-46.579517808000006"
"(4, 9)","-23.839910399999997","-23.812893399999997","-46.579507808","-46.552490808"
"(4, 10)","-23.839910399999997","-23.812893399999997","-46.552480808","-46.525463808000005"
