id,classe ,tipo,endereco,bairro
1,POLICIA MILITAR,BATALHAO DA POLICIA,AV AFRANIO PEIXOTO  390,BUTANTA
2,POLICIA MILITAR,ACADEMIA DE POLICIA,AV AGUA FRIA 1923,AGUA FRIA
3,POLICIA MILITAR,BATALHAO DA POLICIA,AV ANGELICA 1647,SANTA CECILIA
4,POLICIA MILITAR,BATALHAO DA POLICIA,AV CARLOS OBERHUBER  397,VILA SAO JOSE
5,POLICIA MILITAR,BATALHAO DA POLICIA,AV CORIFEU DE AZEVEDO MARQUES  4082,RIO PEQUENO
6,POLICIA MILITAR,DIRETORIA DE SISTEMAS,AV CRUZEIRO DO SUL 260,CANINDE
7,POLICIA MILITAR,BATALHAO DA POLICIA,AV DAVID DOMINGUES FERREIRA 02,ITAQUERA
8,POLICIA MILITAR,BATALHAO DA POLICIA,AV DOS IMARES 488,INDIANOPOLIS
9,POLICIA MILITAR,BATALHAO DA POLICIA,AV DOS METALURGICOS 150,CIDADE TIRADENTES
10,POLICIA MILITAR,BATALHAO DA POLICIA,AV DR ENEAS CARVALHO DE AGUIAR 560,CERQUEIRA CESAR
11,POLICIA MILITAR,BATALHAO DA POLICIA,AV DR FRANCISCO DE PAULA VICENTE DE AZEVEDO 777,PARQUE CONTINENTAL
12,POLICIA MILITAR,BATALHAO DA POLICIA,AV DR JOSE ARTUR NOVA 917,PARQUE PAULISTANO
13,POLICIA MILITAR,BATALHAO DA POLICIA,AV INCONFIDENCIA MINEIRA 688,VILA RICA
14,POLICIA MILITAR,BATALHAO DA POLICIA,AV IV CENTENARIO 1450,JD LUZITANIA
15,POLICIA MILITAR,BATALHAO DA POLICIA,AV JACU PESSEGO 2708,FAZENDA NOSSA SRA DO CARMO
16,POLICIA MILITAR,BATALHAO DA POLICIA,AV LINO DE ALMEIDA PIRES 358,VILA GUARANI
17,POLICIA MILITAR,BATALHAO DA POLICIA,AV MIGUEL ESTEFANO 3900,AGUA FUNDA
18,POLICIA MILITAR,CASA MILITAR,AV MORUMBI 4500,MORUMBI
19,POLICIA MILITAR,COMANDO REGIONAL,AV NOVA CANTAREIRA  3659,TUCURUVI
20,POLICIA MILITAR,BATALHAO DA POLICIA,AV ONZE DE JUNHO 87,VILA CLEMENTINO
21,POLICIA MILITAR,BATALHAO DA POLICIA,AV OURO VERDE DE MINAS 271,JD IV CENTENARIO
22,POLICIA MILITAR,ASSESSORIA DE POLICIA,AV PEDRO ALVARES CABRAL 201,MOEMA
23,POLICIA MILITAR,BATALHAO DA POLICIA,AV PROF FONSECA RODRIGUES 1655,ALTO DE PINHEIROS
24,POLICIA MILITAR,BATALHAO DA POLICIA,AV PROF LUIS INACIO DE ANHAIA MELLO  8301,VILA TOLSTOI
25,POLICIA MILITAR,BATALHAO DA POLICIA,AV PROFA SYLLA MATTOS 535,JD SANTA CRUZ
26,POLICIA MILITAR,BATALHAO DA POLICIA,AV RAGUEB CHOHFI 830,SAO MATEUS
27,POLICIA MILITAR,BATALHAO DA POLICIA,AV RAIMUNDO PEREIRA DE MAGALHAES 3301,JD SAO RICARDO
28,POLICIA MILITAR,BATALHAO DA POLICIA,AV REGENTE FEIJO  871,VILA REGENTE FEIJO
29,POLICIA MILITAR,BATALHAO DA POLICIA,AV RIO BRANCO  1289,CAMPOS ELISEOS
30,POLICIA MILITAR,BATALHAO DA POLICIA,AV RIO DAS PEDRAS  2377,JD ARICANDUVA
31,POLICIA MILITAR,BATALHAO DA POLICIA,AV SALVADOR GIANETTI 386,GUAIANASES
32,POLICIA MILITAR,COMANDO DE POLICIAMENTO,AV SAPOPEMBA 12370,FAZENDA DA JUTA
33,POLICIA MILITAR,BATALHAO DA POLICIA,AV SAPOPEMBA 30505,JD ALTO ALEGRE
34,POLICIA MILITAR,BATALHAO DA POLICIA,AV TENENTE JULIO PRADO NEVES 1111,VILA ALBERTINA
35,POLICIA MILITAR,BATALHAO DA POLICIA,AV TIRADENTES 440,LUZ
36,POLICIA MILITAR,BATALHAO DA POLICIA,EST DE ITAPECERICA  5650,JD VISTA LINDA
37,POLICIA MILITAR,BATALHAO DA POLICIA,EST ITAQUERA GUAIANAZES 80,ITAQUERA
38,POLICIA MILITAR,CORREGEDORIA,R ALFREDO MAIA  58,LUZ
39,POLICIA MILITAR,BATALHAO DA POLICIA,R ALFREDO PIRAGIBE  300,VILA MADALENA
40,POLICIA MILITAR,BATALHAO DA POLICIA,R AMAMBAI 1181,VILA MARIA
41,POLICIA MILITAR,BATALHAO DA POLICIA,R AMAMBAI 9,VILA MARIA
42,POLICIA MILITAR,BATALHAO DA POLICIA,R ANTONIO DA COSTA BARBOSA 100,VILA ANDRADE
43,POLICIA MILITAR,BATALHAO DA POLICIA,R ARMANDO DIAS 75,VILA DIVA
44,POLICIA MILITAR,BATALHAO DA POLICIA,R AUGUSTIN LUBERTI 1100,FAZENDA DA JUTA
45,POLICIA MILITAR,BATALHAO DA POLICIA,R AZURITA  98,CANINDE
46,POLICIA MILITAR,BATALHAO DA POLICIA,R BARROS CASSAL  348,ITAQUERA
47,POLICIA MILITAR,BATALHAO DA POLICIA,R BARROSO NETO 60,BUTANTA
48,POLICIA MILITAR,BATALHAO DA POLICIA,R BUCUITUBA  952,VILA MARGARIDA
49,POLICIA MILITAR,BATALHAO DA POLICIA,R CAETANO PIMENTEL DO VABO 78,JD AVELINO
50,POLICIA MILITAR,BATALHAO DA POLICIA,R CEL EMIDIO PIEDADE  485,PARI
51,POLICIA MILITAR,BATALHAO DA POLICIA,R CONNO MATEO 17,PARQUE CONTINENTAL
52,POLICIA MILITAR,BATALHAO DA POLICIA,R CORDAO DE SAO FRANCISCO 875,ITAIM PAULISTA
53,POLICIA MILITAR,BATALHAO DA POLICIA,R DA ABOLICAO 349,BELA VISTA
54,POLICIA MILITAR,BATALHAO DA POLICIA,R DAS ROSAS 32,VARGEM GRANDE
55,POLICIA MILITAR,BATALHAO DA POLICIA,R DOM LUIS LASANHA 534,IPIRANGA
56,POLICIA MILITAR,BATALHAO DA POLICIA,R DR GABRIEL DOS SANTOS  81,SANTA CECILIA
57,POLICIA MILITAR,BATALHAO DA POLICIA,R DR PELAGIO MARQUES  117,VILA MATILDE
58,POLICIA MILITAR,COMANDO DE POLICIAMENTO,R DR RUBENS GOMES BUENO 231,VARZEA DE BAIXO
59,POLICIA MILITAR,ASSESSORIA DE POLICIA,R DR VILA NOVA 285,VILA BUARQUE
60,POLICIA MILITAR,BATALHAO DA POLICIA,R DR. PELAGIO MARQUES 177,VILA MATILDE
61,POLICIA MILITAR,BATALHAO DA POLICIA,R ERNESTO GOULD 317,CIDADE TIRADENTES
62,POLICIA MILITAR,BATALHAO DA POLICIA,R FLORENCIO SANCHES 185,JD GUAIRACA
63,POLICIA MILITAR,BATALHAO DA POLICIA,R FRANCISCO BAUTISTA  471,JD SANTA EMILIA
64,POLICIA MILITAR,BATALHAO DA POLICIA,R HEITOR DINIZ CAMPELO 215,VILA LONDRINA
65,POLICIA MILITAR,BATALHAO DA POLICIA,R ITAPICURU 80,PERDIZES
66,POLICIA MILITAR,ASSESSORIA DE POLICIA,R JACAREI  100,BELA VISTA
67,POLICIA MILITAR,BATALHAO DA POLICIA,R JESUINO ARRUDA 464,ITAIM BIBI
68,POLICIA MILITAR,BATALHAO DA POLICIA,R JOAPITANGA 301,VILA CAMPANELA
69,POLICIA MILITAR,REGIMENTO DE POLICIA MONTADA,R JORGE MIRANDA  238,LUZ
