"ID","LAT_MIN","LAT_MAX","LON_MIN","LON_MAX"
"(0, 0)","-23.9480184","-23.8579384","-49.581026165","-49.490946165"
"(0, 1)","-23.9480184","-23.8579384","-49.490936164999994","-49.400856165"
"(0, 2)","-23.9480184","-23.8579384","-49.400846165","-49.310766165000004"
"(0, 3)","-23.9480184","-23.8579384","-49.310756165","-49.220676165"
"(0, 4)","-23.9480184","-23.8579384","-49.220666165","-49.130586165"
"(0, 5)","-23.9480184","-23.8579384","-49.130576164999994","-49.040496165"
"(0, 6)","-23.9480184","-23.8579384","-49.040486165","-48.950406165000004"
"(0, 7)","-23.9480184","-23.8579384","-48.950396165","-48.860316165"
"(0, 8)","-23.9480184","-23.8579384","-48.860306165","-48.770226165"
"(0, 9)","-23.9480184","-23.8579384","-48.770216164999994","-48.680136165"
"(0, 10)","-23.9480184","-23.8579384","-48.680126165","-48.590046165000004"
"(0, 11)","-23.9480184","-23.8579384","-48.590036165","-48.499956165"
"(0, 12)","-23.9480184","-23.8579384","-48.499946165","-48.409866165"
"(0, 13)","-23.9480184","-23.8579384","-48.409856164999994","-48.319776165"
"(0, 14)","-23.9480184","-23.8579384","-48.319766165","-48.229686165000004"
"(0, 15)","-23.9480184","-23.8579384","-48.229676165","-48.139596165"
"(0, 16)","-23.9480184","-23.8579384","-48.139586165","-48.049506165"
"(0, 17)","-23.9480184","-23.8579384","-48.049496164999994","-47.959416165"
"(0, 18)","-23.9480184","-23.8579384","-47.959406165","-47.869326165000004"
"(0, 19)","-23.9480184","-23.8579384","-47.869316165","-47.779236165"
"(0, 20)","-23.9480184","-23.8579384","-47.779226165","-47.689146165"
"(0, 21)","-23.9480184","-23.8579384","-47.689136164999994","-47.599056165"
"(0, 22)","-23.9480184","-23.8579384","-47.599046165","-47.508966165000004"
"(0, 23)","-23.9480184","-23.8579384","-47.508956165","-47.418876165"
"(0, 24)","-23.9480184","-23.8579384","-47.418866165","-47.328786165"
"(0, 25)","-23.9480184","-23.8579384","-47.328776164999994","-47.238696165"
"(0, 26)","-23.9480184","-23.8579384","-47.238686165","-47.148606165000004"
"(0, 27)","-23.9480184","-23.8579384","-47.148596165","-47.058516165"
"(0, 28)","-23.9480184","-23.8579384","-47.058506165","-46.968426165"
"(0, 29)","-23.9480184","-23.8579384","-46.968416164999994","-46.878336165"
"(0, 30)","-23.9480184","-23.8579384","-46.878326165","-46.788246165000004"
"(0, 31)","-23.9480184","-23.8579384","-46.788236165","-46.698156165"
"(0, 32)","-23.9480184","-23.8579384","-46.698146165","-46.608066165"
"(0, 33)","-23.9480184","-23.8579384","-46.608056164999994","-46.517976165"
"(0, 34)","-23.9480184","-23.8579384","-46.517966165","-46.427886165000004"
"(0, 35)","-23.9480184","-23.8579384","-46.427876165","-46.337796165"
"(0, 36)","-23.9480184","-23.8579384","-46.337786165","-46.247706165"
"(0, 37)","-23.9480184","-23.8579384","-46.247696164999994","-46.157616165"
"(1, 0)","-23.8579284","-23.7678484","-49.581026165","-49.490946165"
"(1, 1)","-23.8579284","-23.7678484","-49.490936164999994","-49.400856165"
"(1, 2)","-23.8579284","-23.7678484","-49.400846165","-49.310766165000004"
"(1, 3)","-23.8579284","-23.7678484","-49.310756165","-49.220676165"
"(1, 4)","-23.8579284","-23.7678484","-49.220666165","-49.130586165"
"(1, 5)","-23.8579284","-23.7678484","-49.130576164999994","-49.040496165"
"(1, 6)","-23.8579284","-23.7678484","-49.040486165","-48.950406165000004"
"(1, 7)","-23.8579284","-23.7678484","-48.950396165","-48.860316165"
"(1, 8)","-23.8579284","-23.7678484","-48.860306165","-48.770226165"
"(1, 9)","-23.8579284","-23.7678484","-48.770216164999994","-48.680136165"
"(1, 10)","-23.8579284","-23.7678484","-48.680126165","-48.590046165000004"
"(1, 11)","-23.8579284","-23.7678484","-48.590036165","-48.499956165"
"(1, 12)","-23.8579284","-23.7678484","-48.499946165","-48.409866165"
"(1, 13)","-23.8579284","-23.7678484","-48.409856164999994","-48.319776165"
"(1, 14)","-23.8579284","-23.7678484","-48.319766165","-48.229686165000004"
"(1, 15)","-23.8579284","-23.7678484","-48.229676165","-48.139596165"
"(1, 16)","-23.8579284","-23.7678484","-48.139586165","-48.049506165"
"(1, 17)","-23.8579284","-23.7678484","-48.049496164999994","-47.959416165"
"(1, 18)","-23.8579284","-23.7678484","-47.959406165","-47.869326165000004"
"(1, 19)","-23.8579284","-23.7678484","-47.869316165","-47.779236165"
"(1, 20)","-23.8579284","-23.7678484","-47.779226165","-47.689146165"
"(1, 21)","-23.8579284","-23.7678484","-47.689136164999994","-47.599056165"
"(1, 22)","-23.8579284","-23.7678484","-47.599046165","-47.508966165000004"
"(1, 23)","-23.8579284","-23.7678484","-47.508956165","-47.418876165"
"(1, 24)","-23.8579284","-23.7678484","-47.418866165","-47.328786165"
"(1, 25)","-23.8579284","-23.7678484","-47.328776164999994","-47.238696165"
"(1, 26)","-23.8579284","-23.7678484","-47.238686165","-47.148606165000004"
"(1, 27)","-23.8579284","-23.7678484","-47.148596165","-47.058516165"
"(1, 28)","-23.8579284","-23.7678484","-47.058506165","-46.968426165"
"(1, 29)","-23.8579284","-23.7678484","-46.968416164999994","-46.878336165"
"(1, 30)","-23.8579284","-23.7678484","-46.878326165","-46.788246165000004"
"(1, 31)","-23.8579284","-23.7678484","-46.788236165","-46.698156165"
"(1, 32)","-23.8579284","-23.7678484","-46.698146165","-46.608066165"
"(1, 33)","-23.8579284","-23.7678484","-46.608056164999994","-46.517976165"
"(1, 34)","-23.8579284","-23.7678484","-46.517966165","-46.427886165000004"
"(1, 35)","-23.8579284","-23.7678484","-46.427876165","-46.337796165"
"(1, 36)","-23.8579284","-23.7678484","-46.337786165","-46.247706165"
"(1, 37)","-23.8579284","-23.7678484","-46.247696164999994","-46.157616165"
"(2, 0)","-23.7678384","-23.6777584","-49.581026165","-49.490946165"
"(2, 1)","-23.7678384","-23.6777584","-49.490936164999994","-49.400856165"
"(2, 2)","-23.7678384","-23.6777584","-49.400846165","-49.310766165000004"
"(2, 3)","-23.7678384","-23.6777584","-49.310756165","-49.220676165"
"(2, 4)","-23.7678384","-23.6777584","-49.220666165","-49.130586165"
"(2, 5)","-23.7678384","-23.6777584","-49.130576164999994","-49.040496165"
"(2, 6)","-23.7678384","-23.6777584","-49.040486165","-48.950406165000004"
"(2, 7)","-23.7678384","-23.6777584","-48.950396165","-48.860316165"
"(2, 8)","-23.7678384","-23.6777584","-48.860306165","-48.770226165"
"(2, 9)","-23.7678384","-23.6777584","-48.770216164999994","-48.680136165"
"(2, 10)","-23.7678384","-23.6777584","-48.680126165","-48.590046165000004"
"(2, 11)","-23.7678384","-23.6777584","-48.590036165","-48.499956165"
"(2, 12)","-23.7678384","-23.6777584","-48.499946165","-48.409866165"
"(2, 13)","-23.7678384","-23.6777584","-48.409856164999994","-48.319776165"
"(2, 14)","-23.7678384","-23.6777584","-48.319766165","-48.229686165000004"
"(2, 15)","-23.7678384","-23.6777584","-48.229676165","-48.139596165"
"(2, 16)","-23.7678384","-23.6777584","-48.139586165","-48.049506165"
"(2, 17)","-23.7678384","-23.6777584","-48.049496164999994","-47.959416165"
"(2, 18)","-23.7678384","-23.6777584","-47.959406165","-47.869326165000004"
"(2, 19)","-23.7678384","-23.6777584","-47.869316165","-47.779236165"
"(2, 20)","-23.7678384","-23.6777584","-47.779226165","-47.689146165"
"(2, 21)","-23.7678384","-23.6777584","-47.689136164999994","-47.599056165"
"(2, 22)","-23.7678384","-23.6777584","-47.599046165","-47.508966165000004"
"(2, 23)","-23.7678384","-23.6777584","-47.508956165","-47.418876165"
"(2, 24)","-23.7678384","-23.6777584","-47.418866165","-47.328786165"
"(2, 25)","-23.7678384","-23.6777584","-47.328776164999994","-47.238696165"
"(2, 26)","-23.7678384","-23.6777584","-47.238686165","-47.148606165000004"
"(2, 27)","-23.7678384","-23.6777584","-47.148596165","-47.058516165"
"(2, 28)","-23.7678384","-23.6777584","-47.058506165","-46.968426165"
"(2, 29)","-23.7678384","-23.6777584","-46.968416164999994","-46.878336165"
"(2, 30)","-23.7678384","-23.6777584","-46.878326165","-46.788246165000004"
"(2, 31)","-23.7678384","-23.6777584","-46.788236165","-46.698156165"
"(2, 32)","-23.7678384","-23.6777584","-46.698146165","-46.608066165"
"(2, 33)","-23.7678384","-23.6777584","-46.608056164999994","-46.517976165"
"(2, 34)","-23.7678384","-23.6777584","-46.517966165","-46.427886165000004"
"(2, 35)","-23.7678384","-23.6777584","-46.427876165","-46.337796165"
"(2, 36)","-23.7678384","-23.6777584","-46.337786165","-46.247706165"
"(2, 37)","-23.7678384","-23.6777584","-46.247696164999994","-46.157616165"
"(3, 0)","-23.6777484","-23.5876684","-49.581026165","-49.490946165"
"(3, 1)","-23.6777484","-23.5876684","-49.490936164999994","-49.400856165"
"(3, 2)","-23.6777484","-23.5876684","-49.400846165","-49.310766165000004"
"(3, 3)","-23.6777484","-23.5876684","-49.310756165","-49.220676165"
"(3, 4)","-23.6777484","-23.5876684","-49.220666165","-49.130586165"
"(3, 5)","-23.6777484","-23.5876684","-49.130576164999994","-49.040496165"
"(3, 6)","-23.6777484","-23.5876684","-49.040486165","-48.950406165000004"
